year,mean_lice,se_lice,route
2019,1.8153778975342274,0.22497781771156672,Wakeman
2022,1.3879706619968546,0.14693137738970216,Wakeman
2023,0.1835051164253387,0.03402311204177624,Wakeman
2020,0.7899922372421819,0.11505925058167635,Wakeman
2021,0.9171567713978452,0.12127663124431369,Wakeman
2019,1.3038387101625581,0.23682070760028967,Knight
2022,0.5894029697104062,0.09003866731883398,Knight
2023,0.2860071921939553,0.06890784839411795,Knight
2020,0.43455063801563776,0.118509616530104,Knight
2021,0.9720695435701183,0.194818899812077,Knight
2019,1.6339108731577736,0.1975082038640055,Tribune
2022,1.2212709420491443,0.13052969947782098,Tribune
2023,0.20257269157502694,0.03160111611730807,Tribune
2020,0.7329974161516873,0.10241763579938207,Tribune
2021,0.9705856618882992,0.10442391774959807,Tribune
